0.725000 	 87.614258 	 0.144516 	 
0.730000 	 87.626038 	 0.146120 	 
0.735000 	 87.637741 	 0.147729 	 
0.740000 	 87.649376 	 0.149343 	 
0.745000 	 87.660934 	 0.150961 	 
0.750000 	 87.672424 	 0.152584 	 
0.755000 	 87.683838 	 0.154211 	 
0.760000 	 87.695183 	 0.155844 	 
0.765000 	 87.706451 	 0.157480 	 
0.770000 	 87.717651 	 0.159121 	 
0.775000 	 87.728775 	 0.160767 	 
0.780000 	 87.739830 	 0.162416 	 
0.785000 	 87.750816 	 0.164071 	 
0.790000 	 87.761734 	 0.165729 	 
0.795000 	 87.772575 	 0.167392 	 
0.800000 	 87.783348 	 0.169059 	 
0.805000 	 87.794052 	 0.170730 	 
0.810000 	 87.804688 	 0.172405 	 
0.815000 	 87.815254 	 0.174084 	 
0.820000 	 87.825752 	 0.175768 	 
0.825000 	 87.836182 	 0.177455 	 
0.830000 	 87.846542 	 0.179146 	 
0.835000 	 87.856834 	 0.180841 	 
0.840000 	 87.867058 	 0.182540 	 
0.845000 	 87.877213 	 0.184243 	 
0.850000 	 87.887299 	 0.185950 	 
0.855000 	 87.897316 	 0.187661 	 
0.860000 	 87.907265 	 0.189375 	 
0.865000 	 87.917152 	 0.191093 	 
0.870000 	 87.926971 	 0.192814 	 
0.875000 	 87.936722 	 0.194540 	 
0.880000 	 87.946404 	 0.196268 	 
0.885000 	 87.956024 	 0.198001 	 
0.890000 	 87.965576 	 0.199737 	 
0.895000 	 87.975067 	 0.201476 	 
0.900000 	 87.984489 	 0.203219 	 
0.905000 	 87.993851 	 0.204965 	 
0.910000 	 88.003143 	 0.206714 	 
0.915000 	 88.012375 	 0.208467 	 
0.920000 	 88.021538 	 0.210224 	 
0.925000 	 88.030640 	 0.211983 	 
0.930000 	 88.039680 	 0.213746 	 
0.935000 	 88.048653 	 0.215512 	 
0.940000 	 88.057564 	 0.217281 	 
0.945000 	 88.066414 	 0.219053 	 
0.950000 	 88.075195 	 0.220829 	 
0.955000 	 88.083916 	 0.222607 	 
0.960000 	 88.092575 	 0.224389 	 
0.965000 	 88.101173 	 0.226173 	 
0.970000 	 88.109711 	 0.227961 	 
